,src_bytes,service,diff_srv_rate,flag,dst_bytes,dst_host_diff_srv_rate,count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_serror_rate,label
32,303,http,0.0,SF,555,0.0,9,255,1.0,0.0,normal
33,0,private,1.0,REJ,0,0.31,2,1,0.0,0.0,probe
34,45,domain_u,0.0,SF,45,0.01,181,250,0.98,0.0,normal
35,105,private,0.0,SF,147,0.05,2,5,0.12,0.0,normal
36,43,domain_u,0.0,SF,43,0.0,122,255,1.0,0.0,normal
37,0,supdup,0.06,S0,0,0.07,205,17,0.07,1.0,dos
38,324,http,0.0,SF,2302,0.0,22,255,1.0,0.0,normal
39,0,uucp_path,0.07,S0,0,0.07,228,13,0.05,1.0,dos
40,0,ftp_data,0.08,S0,0,0.02,50,63,0.25,1.0,dos
41,0,Z39_50,0.06,S0,0,0.07,262,9,0.04,1.0,dos
42,1591,smtp,0.0,SF,372,0.02,1,147,0.81,0.0,normal
43,146,other,0.5,SF,105,0.66,4,2,0.01,0.0,normal
44,290,http,0.0,SF,3006,0.0,11,255,1.0,0.0,normal
45,0,csnet_ns,0.08,S0,0,0.07,108,11,0.04,1.0,dos
46,28,private,0.0,SF,0,0.02,80,80,0.31,0.0,dos
47,255,http,0.0,SF,861,0.0,44,255,1.0,0.0,normal
48,334,ftp_data,0.0,SF,0,0.0,2,38,1.0,0.0,r2l
49,0,ftp_data,0.05,S0,0,0.07,258,5,0.02,1.0,dos
50,302,http,0.0,SF,498,0.0,10,255,1.0,0.0,normal
51,0,private,0.1,REJ,0,0.08,61,4,0.02,0.0,dos
52,28,private,0.0,SF,0,0.02,2,2,0.01,0.0,dos
53,220,http,0.0,SF,1398,0.0,26,255,1.0,0.0,normal
54,43,domain_u,0.0,SF,69,0.01,120,245,0.96,0.0,normal
55,44,domain_u,0.0,SF,133,0.02,73,212,0.88,0.0,normal
56,8,eco_i,0.0,SF,0,0.0,1,46,1.0,0.0,probe
57,0,uucp,0.06,S0,0,0.07,135,11,0.04,1.0,dos
58,0,finger,0.08,S0,0,0.04,24,59,0.23,1.0,dos
59,43,domain_u,0.0,SF,43,0.0,148,255,1.0,0.0,normal
60,641,ftp_data,0.0,SF,0,0.02,2,48,0.25,0.0,normal
61,0,private,0.06,REJ,0,0.08,206,4,0.02,0.0,dos
62,0,private,1.0,REJ,0,0.84,175,1,0.0,0.07,probe
63,310,http,0.0,SF,2794,0.0,4,255,1.0,0.0,normal
64,0,private,0.08,REJ,0,0.07,63,10,0.04,0.0,dos
65,696,smtp,0.0,SF,333,0.04,1,133,0.39,0.0,normal
66,0,netbios_dgm,0.0,RSTR,0,0.58,1,1,0.0,0.0,probe
67,0,http,0.08,S0,0,0.02,52,67,0.26,1.0,dos
68,0,netbios_dgm,0.06,REJ,0,0.07,125,6,0.02,0.0,dos
69,0,supdup,0.06,S0,0,0.06,168,21,0.08,1.0,dos
70,221,http,0.0,SF,2878,0.0,1,58,1.0,0.0,normal
71,0,private,0.06,S0,0,0.05,145,31,0.12,1.0,dos
72,181,urp_i,0.67,SF,0,0.01,3,93,0.36,0.0,normal
73,42,domain_u,0.0,SF,42,0.02,9,83,0.99,0.0,normal
74,0,private,0.06,S0,0,0.07,138,6,0.02,1.0,dos
75,12,ftp_data,0.0,SF,0,0.07,1,47,0.55,0.0,normal
76,0,auth,0.06,S0,0,0.06,276,9,0.04,1.0,dos
77,210,http,0.0,SF,2790,0.0,10,255,1.0,0.0,normal
78,321,http,0.0,SF,5683,0.0,10,255,1.0,0.0,normal
79,0,private,0.06,REJ,0,0.07,248,8,0.03,0.0,dos
80,329,http,0.0,SF,3982,0.0,2,255,1.0,0.0,normal
81,0,uucp_path,0.07,REJ,0,0.07,135,7,0.03,0.0,dos
82,0,domain,0.05,S0,0,0.07,220,2,0.01,1.0,dos
83,8,eco_i,0.0,SF,0,0.0,1,95,1.0,0.0,probe
84,320,http,0.0,SF,379,0.0,9,255,1.0,0.0,normal
85,0,private,0.05,S0,0,0.11,212,7,0.1,0.97,dos
86,225,http,0.0,SF,3762,0.0,10,255,1.0,0.0,normal
87,0,ftp,0.06,S0,0,0.07,250,1,0.0,1.0,dos
88,0,private,0.05,REJ,0,0.06,132,15,0.06,0.0,dos
89,146,other,0.67,SF,105,0.54,3,2,0.02,0.0,normal
90,247,http,0.0,SF,1416,0.0,11,255,1.0,0.0,normal
91,353,http,0.0,SF,1483,0.0,3,255,1.0,0.0,normal
92,44,domain_u,0.02,SF,44,0.01,109,254,1.0,0.0,normal
93,0,private,0.05,REJ,0,0.08,146,10,0.04,0.0,dos
94,0,csnet_ns,0.06,S0,0,0.07,300,3,0.01,1.0,dos
95,3065,smtp,0.0,SF,331,0.02,1,119,0.48,0.01,normal
96,102,other,0.0,SF,102,0.29,1,1,0.14,0.0,normal
97,259,http,0.0,SF,750,0.0,4,255,1.0,0.0,normal
98,147,other,0.0,SF,105,0.42,2,2,0.01,0.0,normal
99,0,private,0.05,S0,0,0.05,129,12,0.05,1.0,dos
100,0,http,0.0,SF,354,0.0,32,255,1.0,0.0,normal
101,309,http,0.0,SF,306,0.0,1,255,1.0,0.0,normal
102,0,http,0.0,REJ,0,0.0,1,247,1.0,0.0,normal
103,278,http,0.0,SF,7227,0.0,3,255,1.0,0.0,normal
104,28,private,0.0,SF,0,0.29,82,182,0.71,0.09,dos
105,313,http,0.0,SF,761,0.0,1,255,1.0,0.0,normal
106,219,http,0.0,SF,1212,0.0,15,255,1.0,0.0,normal
107,245,http,0.0,SF,9165,0.0,2,255,1.0,0.0,normal
108,328,http,0.0,SF,2243,0.0,21,255,1.0,0.0,normal
109,0,http,0.0,REJ,0,0.0,1,249,1.0,0.0,normal
110,251,http,0.0,SF,301,0.01,3,252,0.99,0.0,normal
111,2089,smtp,1.0,SF,335,0.03,2,152,0.6,0.01,normal
112,0,http,0.0,REJ,0,0.0,1,255,1.0,0.0,normal
113,237,http,0.0,SF,511,0.0,1,255,1.0,0.0,normal
114,324,http,0.0,SF,431,0.0,4,255,1.0,0.0,normal
115,1,private,0.0,RSTR,0,0.69,2,2,0.01,0.0,probe
116,0,Z39_50,0.05,REJ,0,0.07,110,17,0.07,0.0,dos
117,105,private,0.5,SF,145,0.01,4,239,0.94,0.0,normal
118,218,http,0.0,SF,974,0.0,6,255,1.0,0.0,normal
119,325,http,0.0,SF,2649,0.0,7,255,1.0,0.0,normal
120,0,uucp_path,0.07,REJ,0,0.07,246,20,0.08,0.0,dos
121,0,bgp,0.07,REJ,0,0.08,272,19,0.07,0.0,dos
122,0,csnet_ns,0.07,S0,0,0.08,259,8,0.03,1.0,dos
123,328,http,0.0,SF,275,0.01,9,250,0.98,0.0,normal
124,0,bgp,0.05,S0,0,0.07,294,8,0.03,1.0,dos
125,9,finger,0.0,SF,138,0.03,1,10,0.03,0.01,normal
126,46,domain_u,0.0,SF,46,0.01,96,254,1.0,0.0,normal
127,1079,smtp,0.0,SF,334,0.03,1,167,0.57,0.0,normal
128,45,domain_u,0.0,SF,139,0.01,79,254,1.0,0.0,normal
129,273,ftp,0.0,SF,903,0.02,1,49,0.28,0.01,normal
130,0,private,0.06,S0,0,0.08,190,20,0.08,1.0,dos
131,0,ldap,0.06,REJ,0,0.07,135,1,0.0,0.0,dos
132,237,http,0.0,SF,138,0.0,2,2,1.0,0.0,normal
133,225,http,0.0,SF,1357,0.0,1,255,1.0,0.0,normal
134,0,private,0.06,S0,0,0.08,123,7,0.03,1.0,dos
135,0,supdup,0.06,S0,0,0.07,245,7,0.03,1.0,dos
136,147,other,0.67,SF,0,0.61,3,1,0.0,0.0,normal
137,262,http,0.0,SF,1011,0.0,3,255,1.0,0.0,normal
138,1032,ecr_i,0.0,SF,0,0.0,263,255,1.0,0.0,dos
139,0,private,0.06,S0,0,0.06,109,7,0.03,1.0,dos
140,261,http,0.0,SF,8412,0.0,9,255,1.0,0.0,normal
141,0,bgp,0.08,REJ,0,0.09,145,8,0.03,0.0,dos
142,0,netbios_dgm,0.07,REJ,0,0.07,250,2,0.01,0.0,dos
143,294,http,0.0,SF,1719,0.0,8,255,1.0,0.0,normal
144,221,http,0.0,SF,981,0.0,2,82,1.0,0.0,normal
145,284,http,0.0,SF,10352,0.0,2,255,1.0,0.0,normal
146,0,gopher,0.0,SH,0,1.0,1,1,0.0,1.0,probe
147,309,http,0.0,SF,16096,0.0,3,129,1.0,0.0,normal
148,334,ftp_data,0.0,SF,0,0.0,2,26,1.0,0.0,r2l
149,0,telnet,0.31,S0,0,0.02,13,64,0.25,1.0,dos
150,0,private,0.07,S0,0,0.06,87,1,0.0,1.0,dos
151,214,http,0.0,SF,283,0.0,2,255,1.0,0.0,normal
152,0,vmnet,0.05,S0,0,0.08,292,14,0.05,1.0,dos
153,0,systat,0.05,S0,0,0.08,295,1,0.0,1.0,dos
154,0,http_443,0.06,S0,0,0.05,143,15,0.06,1.0,dos
155,46,domain_u,0.01,SF,78,0.01,278,254,1.0,0.0,normal
156,748,ftp_data,0.0,SF,0,0.33,1,92,0.83,0.0,normal
157,0,efs,0.06,S0,0,0.06,102,18,0.07,1.0,dos
158,8,eco_i,0.0,SF,0,0.0,1,15,1.0,0.0,probe
159,0,whois,0.07,S0,0,0.08,251,3,0.01,1.0,dos
160,329,http,0.0,SF,8437,0.0,4,255,1.0,0.0,normal
161,9,ftp_data,0.0,SF,0,0.38,2,119,0.5,0.0,normal
162,46,domain_u,0.0,SF,128,0.01,222,253,0.99,0.0,normal
163,1766,ftp_data,0.0,SF,0,0.02,2,6,0.02,0.0,normal
164,0,remote_job,0.06,S0,0,0.07,260,4,0.02,1.0,dos
165,1,other,0.0,RSTR,0,0.74,2,2,0.01,0.0,probe
166,8,finger,0.0,SF,135,0.03,1,6,0.03,0.0,normal
167,266,http,0.0,SF,529,0.0,1,255,1.0,0.0,normal
168,245,ftp_data,0.67,SF,0,0.06,3,68,0.32,0.0,normal
169,295,http,0.0,SF,465,0.0,11,255,1.0,0.0,normal
170,0,gopher,0.11,S0,0,0.08,44,12,0.05,1.0,dos
171,228,http,0.0,SF,6834,0.0,2,19,1.0,0.0,normal
172,1032,ecr_i,0.0,SF,0,0.02,511,212,0.83,0.0,dos
173,0,imap4,0.06,REJ,0,0.07,272,15,0.06,0.0,dos
174,0,private,0.07,S0,0,0.05,122,19,0.07,1.0,dos
175,0,whois,0.05,S0,0,0.05,287,3,0.01,1.0,dos
176,0,http,0.0,REJ,0,0.0,1,195,1.0,0.0,normal
177,0,other,0.95,REJ,0,0.91,486,1,0.0,0.11,probe
178,1,other,0.09,SF,0,0.06,22,6,0.02,0.0,probe
179,0,iso_tsap,0.06,S0,0,0.07,286,11,0.04,1.0,dos
180,30,ecr_i,0.0,SF,0,0.0,1,247,1.0,0.0,normal
181,2078,smtp,0.0,SF,333,0.03,1,117,0.31,0.0,normal
182,19,ftp_data,0.0,SF,0,0.04,1,5,0.02,0.0,normal
183,661,smtp,0.0,SF,329,0.02,1,69,0.36,0.0,normal
184,28,private,0.06,SF,0,0.02,35,34,0.13,0.0,dos
185,0,ftp_data,0.14,S0,0,0.03,28,42,0.16,1.0,dos
186,0,private,0.07,S0,0,0.07,108,18,0.07,1.0,dos
187,0,private,0.06,S0,0,0.07,101,15,0.06,1.0,dos
188,1075,smtp,0.0,SF,364,0.17,1,100,0.39,0.0,normal
189,223,http,0.0,SF,656,0.0,12,255,1.0,0.0,normal
190,350,ftp,0.0,SF,1185,0.02,1,142,0.56,0.0,r2l
191,233,http,0.0,SF,2470,0.0,10,255,1.0,0.0,normal
192,0,private,0.07,S0,0,0.05,223,9,0.04,1.0,dos
193,0,echo,0.06,S0,0,0.06,223,17,0.07,1.0,dos
194,201,http,0.0,SF,1938,0.0,19,255,1.0,0.0,normal
195,271,http,0.0,SF,4781,0.0,4,28,1.0,0.0,normal
196,14416,ftp_data,0.0,SF,0,0.02,1,50,0.19,0.0,normal
197,227,http,0.0,SF,11564,0.0,5,52,1.0,0.0,normal
198,0,private,0.52,REJ,0,0.52,406,1,0.0,0.0,probe
199,225,http,0.0,SF,2445,0.0,4,255,1.0,0.0,normal
200,176,http,0.0,SF,426,0.0,6,255,1.0,0.0,normal
201,0,klogin,0.06,S0,0,0.06,143,14,0.05,1.0,dos
202,227,http,0.0,SF,762,0.0,17,255,1.0,0.0,normal
203,855,smtp,0.0,SF,575,0.02,1,20,0.08,0.0,normal
204,944,smtp,0.0,SF,330,0.02,1,166,0.63,0.0,normal
205,954,smtp,1.0,SF,326,0.11,2,104,0.71,0.0,normal
206,0,uucp_path,0.06,S0,0,0.07,201,18,0.07,1.0,dos
207,166,http,0.0,SF,34660,0.0,1,255,1.0,0.0,normal
208,306,http,0.0,SF,2698,0.01,4,240,0.94,0.0,normal
209,0,netbios_ns,0.05,S0,0,0.05,124,19,0.07,1.0,dos
210,0,private,1.0,REJ,0,0.8,162,1,0.0,0.03,probe
211,1480,ecr_i,0.0,SF,0,0.0,2,38,1.0,0.0,dos
212,0,iso_tsap,0.05,S0,0,0.07,277,17,0.07,1.0,dos
213,313,http,0.0,SF,8549,0.0,4,255,1.0,0.0,normal
214,0,link,0.05,S0,0,0.05,274,22,0.09,1.0,dos
215,0,sunrpc,0.06,S0,0,0.06,141,16,0.06,1.0,dos
216,285,http,0.0,SF,6008,0.0,3,255,1.0,0.0,normal
217,226,http,0.0,SF,1411,0.0,8,255,1.0,0.0,normal
218,256,http,0.0,SF,12984,0.0,1,255,1.0,0.0,normal
219,3740,smtp,0.0,SF,449,0.02,1,185,0.68,0.0,normal
220,224,http,0.0,SF,449,0.0,10,255,1.0,0.03,normal
221,0,login,0.07,S0,0,0.07,103,3,0.01,1.0,dos
222,832,ftp_data,0.0,SF,0,0.0,1,28,1.0,0.0,r2l
223,0,finger,0.06,S0,0,0.07,246,20,0.08,1.0,dos
224,8,eco_i,0.0,SF,0,0.0,1,25,1.0,0.0,probe
225,201,http,0.0,SF,169,0.0,7,255,1.0,0.03,normal
226,285,http,0.0,SF,304,0.0,32,255,1.0,0.0,normal
227,0,kshell,0.05,S0,0,0.05,125,24,0.09,1.0,dos
228,7422,ftp_data,0.0,SF,0,0.02,8,44,0.17,0.0,normal
229,198,http,0.0,SF,12884,0.0,2,2,1.0,0.0,normal
230,2310,smtp,0.0,SF,328,0.02,1,157,0.62,0.0,normal
231,331,http,0.0,SF,955,0.0,6,255,1.0,0.0,normal
232,65,urp_i,0.22,SF,0,0.01,9,16,0.06,0.0,normal
233,28,private,0.0,SF,0,0.01,4,71,0.28,0.0,dos
234,45,domain_u,0.0,SF,77,0.01,171,232,0.91,0.0,normal
235,0,ftp,0.06,RSTO,0,0.07,250,3,0.01,0.0,dos
236,0,auth,0.07,S0,0,0.07,238,7,0.03,1.0,dos
237,0,kshell,0.07,S0,0,0.06,102,2,0.01,1.0,dos
238,9,finger,0.0,SF,142,0.03,1,12,0.05,0.0,normal
239,283,http,0.0,SF,912,0.0,2,255,1.0,0.0,normal
240,221,http,0.0,SF,1789,0.0,2,255,1.0,0.01,normal
241,18,eco_i,0.0,SF,0,0.0,1,123,1.0,0.0,probe
242,0,vmnet,0.06,S0,0,0.07,281,3,0.01,1.0,dos
243,0,telnet,0.13,S0,0,0.03,30,52,0.2,1.0,dos
244,0,ftp_data,0.06,S0,0,0.06,276,8,0.03,1.0,dos
245,302,http,0.0,SF,1380,0.02,5,187,0.88,0.0,normal
246,0,private,0.09,S0,0,0.1,163,9,0.04,1.0,dos
247,8,eco_i,0.0,SF,0,0.0,1,60,1.0,0.0,probe
248,0,private,0.06,S0,0,0.05,301,19,0.07,1.0,dos
249,355,http,0.0,SF,870,0.0,28,255,1.0,0.0,normal
250,8,eco_i,0.0,SF,0,0.0,1,63,1.0,0.0,probe
251,106,telnet,0.0,SF,1468,0.04,1,1,0.01,0.0,normal
252,286,http,0.0,SF,1423,0.0,16,255,1.0,0.0,normal
253,1,other,0.0,RSTR,0,0.74,2,2,0.01,0.0,probe
254,0,sql_net,0.0,SH,0,1.0,1,1,0.0,1.0,probe
255,1032,ecr_i,0.0,SF,0,0.02,46,46,0.18,0.0,dos
256,168,http,0.0,SF,9551,0.0,1,255,1.0,0.0,normal
257,238,http,0.0,SF,864,0.0,39,255,1.0,0.0,normal
258,0,private,0.0,RSTR,0,0.38,1,1,0.0,0.0,probe
259,291,http,0.0,SF,10369,0.0,6,255,1.0,0.0,normal
260,0,vmnet,0.05,S0,0,0.05,211,22,0.09,1.0,dos
261,749,smtp,0.0,SF,330,0.11,1,129,0.74,0.0,normal
262,198,http,0.0,SF,6924,0.0,12,255,1.0,0.0,normal
263,0,mtp,0.06,REJ,0,0.07,280,11,0.04,0.0,dos
264,167,http,0.0,SF,709,0.0,1,255,1.0,0.0,normal
265,241,http,0.0,SF,851,0.0,17,255,1.0,0.0,normal
266,337,http,0.0,SF,3360,0.0,6,255,1.0,0.0,normal
267,729,smtp,0.0,SF,328,0.04,1,156,0.41,0.0,normal
268,8,eco_i,0.0,SF,0,0.0,1,111,1.0,0.0,probe
269,0,csnet_ns,0.06,S0,0,0.07,201,4,0.02,1.0,dos
270,222,http,0.0,SF,1483,0.0,3,255,1.0,0.0,normal
271,0,auth,0.06,REJ,0,0.07,276,14,0.05,0.0,dos
272,0,http,0.0,REJ,0,0.0,1,255,1.0,0.0,normal
273,46,domain_u,0.0,SF,134,0.0,145,255,1.0,0.0,normal
274,246,http,0.0,SF,2719,0.0,1,255,1.0,0.0,normal
275,222,http,0.0,SF,771,0.0,8,255,1.0,0.0,normal
276,0,vmnet,0.05,S0,0,0.05,258,10,0.04,1.0,dos
277,0,private,0.06,S0,0,0.07,256,10,0.04,1.0,dos
278,279,telnet,0.0,SF,9598,0.01,1,113,0.45,0.8,normal
279,226,http,0.0,SF,651,0.0,12,255,1.0,0.0,normal
280,299,http,0.0,SF,447,0.0,26,255,1.0,0.0,normal
281,0,http,0.29,S0,0,0.04,14,26,0.28,1.0,dos
282,12,ftp_data,0.0,SF,0,0.27,2,88,0.36,0.0,normal
283,281,http,0.0,SF,1951,0.0,30,255,1.0,0.0,normal
284,0,bgp,0.05,S0,0,0.05,138,25,0.1,1.0,dos
285,42,domain_u,0.0,SF,42,0.01,4,245,0.96,0.0,normal
286,0,ftp,0.06,S0,0,0.07,300,7,0.03,1.0,dos
287,0,time,0.07,S0,0,0.07,199,9,0.04,1.0,dos
288,263,http,0.0,SF,453,0.0,15,255,1.0,0.0,normal
289,1,private,0.0,RSTR,0,0.5,2,2,0.01,0.0,probe
290,0,ftp,0.0,RSTO,0,0.02,1,43,0.2,0.0,normal
291,0,private,0.06,S0,0,0.06,144,30,0.12,1.0,dos
292,0,sql_net,0.07,S0,0,0.07,104,18,0.07,1.0,dos
293,283,http,0.0,SF,1980,0.0,18,255,1.0,0.0,normal
294,161,http,0.0,SF,5530,0.0,2,255,1.0,0.0,normal
295,211,http,0.0,SF,321,0.0,7,255,1.0,0.0,normal
296,201,http,0.0,SF,1701,0.0,7,255,1.0,0.0,normal
297,8,eco_i,0.0,SF,0,0.0,1,112,1.0,0.0,probe
298,147,other,0.67,SF,0,0.67,3,1,0.0,0.0,normal
299,0,private,0.05,S0,0,0.06,74,5,0.02,1.0,dos
300,567,ftp_data,0.0,SF,0,0.09,1,38,0.25,0.0,normal
301,0,hostnames,0.07,REJ,0,0.08,225,2,0.01,0.0,dos
302,0,telnet,0.09,S0,0,0.04,66,52,0.2,1.0,dos
303,5131424,ftp_data,0.0,SF,0,0.0,1,42,1.0,0.0,r2l
304,320,http,0.0,SF,420,0.0,7,255,1.0,0.0,normal
305,8,eco_i,0.0,SF,0,0.0,1,61,1.0,0.0,probe
306,0,smtp,0.0,S0,0,0.05,2,101,0.4,0.01,normal
307,204,http,0.0,SF,1229,0.0,4,255,1.0,0.0,normal
308,0,time,0.0,RSTR,0,0.16,1,1,0.0,0.0,probe
309,10389,ftp_data,0.0,SF,0,0.02,1,81,0.32,0.0,normal
310,0,uucp,0.06,S0,0,0.07,139,13,0.05,1.0,dos
311,344,http,0.0,SF,573,0.0,28,255,1.0,0.0,normal
312,0,exec,0.06,RSTO,0,0.06,144,9,0.04,0.0,dos
313,0,netbios_dgm,0.05,S0,0,0.07,241,19,0.07,1.0,dos
314,243,http,0.0,SF,821,0.0,15,255,1.0,0.0,normal
315,1032,ecr_i,0.0,SF,0,0.0,213,255,1.0,0.0,dos
316,8,eco_i,0.0,SF,0,0.0,1,11,1.0,0.0,probe
317,0,private,1.0,REJ,0,0.47,36,1,0.0,0.02,probe
318,105,private,0.67,SF,146,0.01,3,239,0.94,0.0,normal
319,0,private,0.05,S0,0,0.06,254,17,0.07,1.0,dos
320,1080,smtp,0.0,SF,327,0.02,1,154,0.58,0.0,normal
321,0,telnet,0.05,S0,0,0.05,295,7,0.03,1.0,dos
322,0,private,0.07,S0,0,0.07,171,14,0.05,1.0,dos
323,0,Z39_50,0.06,S0,0,0.07,179,5,0.02,1.0,dos
324,657,smtp,1.0,SF,326,0.6,2,11,0.04,0.0,normal
325,0,http_443,0.06,S0,0,0.07,101,3,0.01,1.0,dos
326,284,http,0.0,SF,765,0.0,9,255,1.0,0.0,normal
327,261,http,0.0,SF,15455,0.0,22,255,1.0,0.0,normal
328,317,http,0.0,SF,315,0.0,1,255,1.0,0.0,normal
329,33,domain_u,0.0,SF,0,0.03,8,36,0.14,0.0,normal
330,0,private,1.0,REJ,0,0.6,2,1,0.0,0.01,probe
331,0,private,0.0,RSTR,0,0.64,1,1,0.0,0.0,probe
332,44,domain_u,0.0,SF,70,0.01,195,234,0.92,0.0,normal
333,215,http,0.0,SF,584,0.0,4,255,1.0,0.0,normal
334,0,private,0.07,S0,0,0.07,260,7,0.03,1.0,dos
335,332,http,0.0,SF,2844,0.0,14,255,1.0,0.0,normal
336,978,smtp,0.0,SF,334,0.03,1,164,0.75,0.0,normal
337,296,http,0.0,SF,5670,0.0,10,255,1.0,0.0,normal
338,0,telnet,0.06,S0,0,0.07,125,8,0.03,1.0,dos
339,0,private,0.06,REJ,0,0.09,139,6,0.02,0.0,dos
340,214,http,0.0,SF,9986,0.0,10,255,1.0,0.0,normal
341,0,private,0.07,S0,0,0.07,251,2,0.01,1.0,dos
342,48,ntp_u,0.0,SF,48,0.05,1,23,0.55,0.0,normal
343,226,http,0.0,SF,1301,0.0,5,255,1.0,0.0,normal
344,0,bgp,0.07,S0,0,0.08,211,12,0.05,1.0,dos
345,78,urp_i,0.1,SF,0,0.01,20,16,0.06,0.0,normal
346,0,private,0.07,S0,0,0.07,208,5,0.02,1.0,dos
347,0,http,0.0,REJ,0,0.0,1,38,1.0,0.0,normal
348,0,discard,0.06,S0,0,0.07,268,19,0.07,1.0,dos
349,0,private,0.0,REJ,0,1.0,1,2,0.03,0.0,probe
350,0,private,1.0,REJ,0,0.53,2,1,0.0,0.0,probe
351,294,http,0.0,SF,3327,0.0,1,255,1.0,0.0,normal
352,0,supdup,0.05,S0,0,0.05,286,3,0.01,1.0,dos
353,220,http,0.0,SF,1249,0.0,7,255,1.0,0.0,normal
354,0,other,1.0,REJ,0,1.0,425,1,0.0,0.08,probe
355,196,http,0.0,SF,3282,0.0,8,255,1.0,0.0,normal
356,0,http,0.06,S0,0,0.08,272,13,0.05,1.0,dos
357,327,http,0.0,SF,4482,0.0,4,255,1.0,0.0,normal
358,0,uucp_path,0.07,REJ,0,0.07,241,3,0.01,0.0,dos
359,319,ftp_data,0.0,SF,0,0.5,2,2,0.33,0.0,normal
360,1087,smtp,0.0,SF,302,0.29,1,64,0.24,0.0,normal
361,210,http,0.0,SF,3754,0.0,18,255,1.0,0.0,normal
362,0,sql_net,0.06,S0,0,0.07,125,18,0.07,1.0,dos
363,0,http,0.0,REJ,0,0.0,1,255,1.0,0.0,normal
364,234,http,0.0,SF,6282,0.0,6,255,1.0,0.0,normal
365,8,eco_i,0.0,SF,0,0.0,1,255,1.0,0.0,probe
366,54540,http,0.0,SF,8314,0.0,1,251,1.0,0.0,dos
367,237,http,0.0,SF,1461,0.0,3,255,1.0,0.0,normal
368,0,ftp_data,0.1,S0,0,0.03,42,62,0.24,0.98,dos
369,0,private,0.06,S0,0,0.07,274,10,0.04,1.0,dos
370,200,http,0.0,SF,955,0.0,3,255,1.0,0.0,normal
371,219,http,0.0,SF,657,0.0,7,255,1.0,0.0,normal
372,284,http,0.0,SF,5921,0.0,1,255,1.0,0.0,normal
373,0,nntp,0.07,S0,0,0.08,196,12,0.05,1.0,dos
374,325,http,0.0,SF,426,0.0,5,255,1.0,0.0,normal
375,0,courier,0.07,S0,0,0.07,111,6,0.02,1.0,dos
376,30,eco_i,0.0,SF,0,0.0,1,247,1.0,0.0,normal
377,335,http,0.0,SF,7902,0.0,1,255,1.0,0.0,normal
378,36,domain_u,0.0,SF,0,0.0,2,171,1.0,0.0,normal
379,0,private,0.08,S0,0,0.08,168,3,0.01,1.0,dos
380,43,domain_u,0.0,SF,43,0.0,122,255,1.0,0.0,normal
381,0,courier,0.06,S0,0,0.07,108,8,0.03,1.0,dos
382,0,http,0.0,REJ,0,0.0,1,55,1.0,0.0,normal
383,0,private,0.14,S0,0,0.1,36,12,0.05,1.0,dos
384,0,private,0.06,S0,0,0.06,143,4,0.02,1.0,dos
385,216,http,0.0,SF,1956,0.0,1,255,1.0,0.0,normal
386,0,uucp,0.05,S0,0,0.05,132,8,0.03,1.0,dos
